Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureKernelEvaluations,measureCacheHits,measureNumRules
bitcount_sbcci_cycles,2,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1220335.7994773895,2010054.2939580034,50.94075530893962,49.0904575783075,0.8725507779012364,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.001,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,2,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1180778.199381926,1455907.006159702,53.66524840131419,49.66737871533546,0.8956403461713637,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.007,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,2,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1080069.8170713666,1330585.5430383105,49.95449966204752,49.75023888700031,0.8927295044503805,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.004,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,2,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1207380.676122682,1990539.740898077,52.1466286606511,50.6027525941856,0.8734178025171135,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.007,0.0,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,2,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1108739.1952034878,1661103.0906368347,44.887708695331796,45.394456556226935,0.890732938706617,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.003,0.0,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,2,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1113212.913663932,1356126.7444609744,50.99807080908101,48.30539896820218,0.8991287082727083,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.004,0.0,0.015625,0.0,15.625,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,2,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1301425.3053459523,2081938.675343026,54.63120945824905,52.8377567335421,0.8592890763945851,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.004,0.002,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,2,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1196139.94319782,1762037.215525794,47.80121272763904,46.41272729201627,0.8888886053024116,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.007,0.002,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,2,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,944.0,104.0,1401034.3671695867,2373028.2239727844,52.42571925962449,50.20070700435412,0.8765240991330417,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.004,0.0,0.0,0.0,0.0,0.0,5414.0,104145.0,12585.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,2,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,944.0,104.0,1195788.6027003264,1752344.513477373,58.161045621055386,53.67847801777977,0.8450227907215466,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.005,0.001,0.0,0.0,0.0,0.0,5406.0,104145.0,12585.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,3,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1184906.0035861195,1716346.2373235826,54.36846971373855,51.87645389388662,0.8513386048054408,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.001,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,3,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1128337.5026454758,1684315.6144338467,50.82392041385451,49.53497537084417,0.8687059452150453,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.077,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,3,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1147284.286055589,1477103.4038247894,46.34873600405994,47.48919528490438,0.8991730293316254,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.004,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,3,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1298097.022665854,1802831.3906037258,56.07422536185282,51.45959778746939,0.8586208411903188,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.003,0.001,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
